Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#22821|closed|bug, Storage, Docs, Client, customer-reported|Docs: batch limit of `azure.storage.blob.ContainerClient.delete_blobs()` is poor|I wanted to move an entire "folder" within a storage account and for unrelated r
#22787|closed|bug, test-reliability|[TestProxy] tests should not have to return variables to record|Discovered in #22187, when a tests uses `@recorded_by_proxy` but does not return
#22784|closed|bug, Storage, Client, customer-reported, issue-addressed|When downloading a Blob, failed requests (HttpResponseError exceptions) are not |- **Package Name**: azure-storage-blob - **Package Version**: 12.8.1 - **Opera
#22769|closed|bug, Search, Client, test-reliability|[Search] temporarily disabled tests due to regressions in Search service|The following tests are disabled due to the service returning 500 errors. These 
#22764|closed|bug, test-reliability, test-enhancement|[TestProxy] Cannot debug individual tests that use test proxy|In VSCode, I can debug into individual tests. However, when I have tests that ha
#22670|closed|bug, Client, Schema Registry|schemaregistry/azure-schemaregistry - cspell found spelling errors in source cod|Spell check scanning of package at `sdk/schemaregistry/azure-schemaregistry` det
#22529|closed|P0, bug, Service Bus, Client, customer-reported|Error while reusing  BatchMessage object |- **Package Name**: azure-servicebus - **Package Version**: 7.4.0 - **Operatin
#22523|closed|bug, Machine Learning, Service Attention, Client, customer-r|Dependencies Conflict Between Azure CLI and Azure ML|- Packages: **azureml-core, azure-cli-core**:  - Versions: **1.37.0.post1 or lo
#22514|closed|bug, Cosmos, Service Attention, Client, customer-reported|Missing comma breaks cosmos.azure.aio.CosmosClient.from_connection_string()|- **Package Name**: azure-cosmos - **Package Version**: 4.3.0b1 - **Operating 
#22487|closed|bug, Client, Purview|Purview Catalog Client : delete_by_guid works but delete_by_guids doesn't !! |- **Package Name**: https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/
#22486|closed|bug, Service Bus, Client, customer-reported, no-recent-activ|ServiceBus - Converted dict does not reach queue|Hey guys,  I use your servicebus SDK (latest) to send a ServiceBusMessage to a
#22445|closed|bug, Storage, customer-reported, Data Lake Storage Gen2, nee|azure-storage-file-datalake - DataLakeFileClient.delete_file() throws HttpRespon|**Package Name**:  azure-storage-file-datalake 12.5.0 **Dependent Packages** 
